feature,method,model,score,score_type,selected,Method
Total Students 2018-2019,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Total Students 2020-2021,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Labor Force Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Employed Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Unemployed Level Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Unemployed Rate Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Median Age 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Age Male 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Age Female 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Households 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Avg Household Size 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Families 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Avg Family Size 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Housing Units 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
County Population,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
CARES ESSER I 20,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% School-wide Title I 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% School-wide Title I 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title I Eligible School 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title I Eligible School 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Teachers:Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Teachers:Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Staff:Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Staff:Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Free Lunch 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Free Lunch 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Reduced-price Lunch 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Reduced-price Lunch 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian or Asian/Pacific Islander Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian or Asian/Pacific Islander Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black or African American Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black or African American Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 1-8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 1-8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 9-12 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 9-12 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Prek 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Prek 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% K 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% K 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% ADA 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% ADA 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
